subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,template,gm_mask,gm_mask_file,remapped,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,gm_remapping_distance_original,gm_remapping_distance_alleninf,gm_remapping_distance_cic
H0351.2002,4266,14,5817,CX,CA4,"CA4 field, right",1009275,68,106,94,24.5,-4,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,28.7420205463184,-19.1731772753446,-18.3989664444621,30.592276430025,-19.4804443334791,-20.9629779780713,31.6392868353401,-19.4606627665742,-19.1158989539267,0,0,0
H0351.2002,4265,14,5809,CX,CA3,"CA3 field, right",1009273,67,106,94,25.5,-4,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,29.8969577324499,-19.1982077099159,-18.3756780536995,31,-20,-21,32.8985675709541,-19.3047553806402,-19.0884514678912,0,0.7092549522791513,0
H0351.2002,4264,14,5801,CX,CA2,"CA2 field, right",1009276,65,105,94,27.5,-4,-9,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,32.4360298870281,-19.1216666144322,-17.1481463598674,33.2378201364637,-19.8100049476616,-19.9347250933751,35.5009288749179,-18.8612291746294,-17.764363608247,0,0,0
H0351.2002,4263,14,5793,CX,CA1,"CA1 field, right",1009277,65,107,94,27.5,-4,-11,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,32.3961476985311,-19.2421277430529,-19.3250780646779,34,-20,-23,34,-19,-20,0,1.1231216940978488,1.501209729167892
H0351.2002,4260,14,5785,CX,S,"subiculum, right",1009278,73,108,94,19.5,-4,-12,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,23.0845800432322,-19.261947637508,-20.5239252833156,25,-18,-24,25.4271677064588,-20.0904274047379,-21.7010296862133,0,1.4362870716394693,0
H0351.2002,4322,12,5769,CX,Cl,"claustrum, left",994827,122,90,91,-29.5,-1,6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-31.9021324617241,-14.7886599998566,1.31956788298525,-32.4263340843681,-17.1418267451611,1.30545641864664,-32,-16,-1,0,0,1.2237683803136188
H0351.2002,4284,10,5089,CX,HCd,"head of caudate nucleus, right",978418,80,77,69,12.5,21,19,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,16.7643966657189,8.74121852324869,13.9784201583681,16,8,12,15.9385415543686,7.58265562870741,12.9854661766923,0,1.2277744918270475,0
H0351.2002,4013,10,4580,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",978416,143,77,71,-50.5,19,19,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-56.1102660823518,6.21441941647966,14.5942660792919,-54.749004381883,4.72111989658536,16.8697221558229,-59,3,14,0,0,0.6097101417396923
H0351.2002,4045,4,4602,CX,orIFG,"inferior frontal gyrus, orbital part, left",977483,128,81,34,-35.5,56,15,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-40.1933142762248,44.0329915564574,6.37477384785334,-37.6023654413115,46.4995417802612,3.55068649523709,-41.5632979570468,41.8879106610571,3.84703158711932,0,0,0
H0351.2002,4042,8,5097,CX,opIFG,"inferior frontal gyrus, opercular part, left",993105,143,64,59,-50.5,31,32,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-56.8355722756863,20.3155648280969,27.2719453943219,-54.7645395244291,19.1751923553034,26.7879079819323,-56,18,29,0,0,1.924925974039253
H0351.2002,4238,18,4851,CX,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",997597,95,70,109,-2.5,-19,26,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-1.80328862837218,-36.1387118007765,25.9940134253275,-4.99753847888081,-37.3307043654406,26.5423171075774,-2.72508362635942,-34.6864021264939,27.5917591769822,0,0,0
H0351.2002,4143,20,5105,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",997874,135,75,143,-42.5,-53,21,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-45,-75,21,-45.8218873025047,-74.6891432176681,16.4760386664172,-45.2498539557061,-74.0713679475967,22.0551888014543,0.8558049161407941,0,0
H0351.2002,4288,11,4914,CX,Pu,"putamen, left",992170,119,84,78,-26.5,12,12,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-28.8655790785304,-0.67900118841885,7.43149747431996,-29.1028617444634,-3.46439420456195,6.09390772005554,-29.3247332341211,-2.32584517470079,5.68265026110356,0,0,0
